Booking_ID,booking_status
INN04969,0.002880166
INN34541,0.17630361
INN36109,0.11750964
INN01554,0.7467503
INN24975,0.21048239
INN27080,0.4239966
INN29146,0.40615302
INN05926,0.33728603
INN17356,0.3004156
INN25284,0.33978793
INN28043,0.08759257
INN00264,0.83184946
INN36020,0.060043216
INN05558,0.37755144
INN07365,0.363906
INN35759,0.53815234
INN24606,0.25860474
INN14613,0.09097662
INN00927,0.7217144
INN03156,0.0064911507
INN18684,0.21542656
INN24976,0.09293542
INN02773,0.057877004
INN09126,0.42991632
INN23806,0.27636135
INN05911,0.50997514
INN10744,0.27188882
INN18155,0.008597065
INN01732,0.15726823
INN28020,0.00651303
INN11177,0.0028859659
INN24767,0.13112454
INN24168,0.33257234
INN17657,0.15616407
INN19937,0.3255498
INN10005,0.14960591
INN19470,0.12041552
INN03227,0.57927
INN20723,0.3947795
INN32020,0.004953083
INN04254,0.18088892
INN06188,0.20591184
INN19814,0.3133205
INN26451,0.373305
INN07030,0.013123124
INN34873,0.56501
INN27817,0.31754845
INN32177,0.6087538
INN05866,0.43683317
INN12355,0.2029155
INN27652,0.029491233
INN27153,0.14708012
INN35279,0.6631301
INN16005,0.26071754
INN12990,0.21944477
INN24073,0.012867358
INN33637,0.1724766
INN13485,0.29956576
INN16436,0.4103386
INN34987,0.46265724
INN14263,0.07333131
INN35353,0.16423807
INN00269,0.13438213
INN32425,0.18343323
INN27275,0.14421298
INN35034,0.32666227
INN34452,0.26043463
INN35113,0.07417313
INN34588,0.14350012
INN07616,0.41745788
INN26088,0.4072831
INN09286,0.6750949
INN32284,0.14992695
INN13788,0.13925539
INN03704,0.32626536
INN21855,0.06994878
INN16700,0.9622895
INN30579,0.07045839
INN07578,0.45988613
INN05758,0.092184864
INN31672,0.18597522
INN00084,0.7228925
INN15712,0.37002268
INN21926,0.3151662
INN22391,0.164983
INN34753,0.11298928
INN10927,0.073232785
INN07802,0.08790102
INN06082,0.8304097
INN05187,0.15061602
INN10952,0.36155492
INN16320,0.3921048
INN18055,0.4229252
INN02266,0.22456709
INN33046,0.1591877
INN33753,0.59348476
INN35475,0.5962712
INN14908,0.79597247
INN35795,0.110803574
INN35668,0.44993916
INN19700,0.7195176
INN35228,0.48765543
INN12325,0.021718863
INN13499,0.004376968
INN22534,0.7273389
INN31212,0.13720222
INN33520,0.26201352
INN15795,0.08233137
INN12712,0.58637
INN07104,0.578044
INN27400,0.33526784
INN31525,0.28719863
INN18168,0.047641814
INN23731,0.6745833
INN13833,0.8169232
INN28228,0.122821786
INN24517,0.25629815
INN15483,0.4752049
INN20700,0.61724
INN02650,0.6506111
INN13261,0.058151625
INN30788,0.22210716
INN15499,0.20426023
INN02562,0.37458274
INN29761,0.21110079
INN35910,0.3350783
INN15337,0.49567932
INN00071,0.64096314
INN10545,0.07442982
INN16346,0.016400749
INN08566,0.53745055
INN12010,0.2056083
INN24714,0.02030974
INN04916,0.728254
INN30066,0.97540027
INN29665,0.1787659
INN31774,0.32864314
INN13827,0.09594026
INN00466,0.69736224
INN16884,0.6745218
INN06217,0.046771206
INN18504,0.3007225
INN05180,0.4559148
INN08039,0.33988476
INN00313,0.0039508804
INN04700,0.091640435
INN16731,0.21234918
INN06066,0.20505472
INN05573,0.82266873
INN11238,0.6292345
INN14218,0.15814063
INN26488,0.44732863
INN26079,0.11827924
INN35612,0.5681299
INN31168,0.6573939
INN13144,0.04503289
INN02792,0.43219697
INN34087,0.30406946
INN29578,0.60275096
INN23190,0.106642954
INN01158,0.0044829487
INN02555,0.518097
INN21625,0.32046032
INN28268,0.19325504
INN21241,0.23904385
INN19859,0.014430393
INN01683,0.37767544
INN09949,0.4610919
INN09808,0.8294297
INN29709,0.7183522
INN03894,0.34969378
INN05839,0.94377893
INN03029,0.10739041
INN18224,0.3268034
INN03980,0.5729756
INN13731,0.43300307
INN22867,0.637109
INN20326,0.12859483
INN02970,0.1651279
INN11661,0.0062014125
INN26818,0.5477328
INN26174,0.05951576
INN14495,0.016610881
INN35656,0.31882885
INN29208,0.694862
INN06268,0.43514633
INN10870,0.19747184
INN15640,0.0667189
INN34774,0.001901255
INN17039,0.12767105
INN24361,0.36183506
INN11077,0.18273422
INN30989,0.6152312
INN16314,0.16302596
INN16829,0.5155821
